Cod Mec,Escola,Gre,Município
26187965,Escola Tecnica Estadual Professora Maria Wilza Barros de Miranda,Sertao Medio Sao Francisco(Petrolina),Petrolina
26187973,Escola de Referencia em Ensino Medio Professora Evanira de Souza Dias,Sertao Medio Sao Francisco(Petrolina),Petrolina
26188295,Escola de Referencia em Ensino Medio Pompeia Campos,Recife Norte,Recife
26188538,Escola Tecnica Estadual Ariano Vilar Suassuna - Garanhuns,Agreste Meridional(Garanhuns),Garanhuns
26188554,Escola Tecnica Estadual Francisco de Matos Sobrinho,Agreste Meridional(Garanhuns),Bom Conselho
26188643,Escola Estadual Indigena Ananias de Sena,Sertao do Submedio Sao Francisco(Floresta),Carnaubeira da Penha
26189526,Escola Estadual Indigena Luiz Pereira Leal,Gre Sertao do Submedio Sao Francisco - Floresta,Itacuruba
26189585,Escola Tecnica Estadual Pastor Isaac Martins Rodrigues,Metropolitano Norte,Abreu E Lima
26190028,Escola Estadual Paulo Dantas Filho,Sertao do Moxoto Ipanema(Arcoverde),Buique
26213800,Escola Manoel Messias Barbosa,Sertao Medio Sao Francisco(Petrolina),Petrolina
26305615,Escola de Referencia em Ensino Medio Carlos Soares da Silva,Vale do Capibaribe(Limoeiro),Salgadinho
26366614,Escola de Referencia em Ensino Medio Jose do Patrocinio Mota,Agreste Meridional(Garanhuns),Sao Bento do Una
26408643,Escola de Referencia em Ensino Medio Professora Benedita de Morais Guerra,Mata Norte(Nazare da Mata),Macaparana
26413817,Escola de Referencia em Ensino Fundamental E Medio Torquato de Castro,Metropolitano Sul,Camaragibe
26419823,Escola Estadual Teresinha de Souza Lira,Sertao do Submedio Sao Francisco(Floresta),Floresta
26419831,Escola Estadual Jose Ferreira da Silva,Sertao do Submedio Sao Francisco(Floresta),Floresta
26525720,Escola Tecnica Estadual Maria Eduarda Ramos de Barros,Mata Norte(Nazare da Mata),Carpina
26525780,Escola de Referencia em Ensino Medio Governador Miguel Arraes de Alencar,Sertao do Araripe(Araripina),Granito
26525798,Escola Tecnica Estadual Aderico Alves de Vasconcelos,Mata Norte(Nazare da Mata),Goiana
26525801,Escola Tecnica Estadual Jose Humberto de Moura Cavalcanti,Vale do Capibaribe(Limoeiro),Limoeiro
26525810,Escola Tecnica Estadual Miguel Arraes de Alencar,Mata Norte(Nazare da Mata),Timbauba
26525828,Escola Tecnica Estadual Maximiano Accioly Campos,Metropolitano Sul,Jaboatao Dos Guararapes
26525836,Escola Tecnica Estadual Antonio Arruda de Farias,Vale do Capibaribe(Limoeiro),Surubim
26525852,Escola de Referencia em Ensino Medio Professor Denival Jose Rodrigues de Melo,Mata Norte(Nazare da Mata),Itaquitinga
26525933,Escola Tecnica Estadual Arlindo Ferreira Dos Santos,Sertao do Moxoto Ipanema(Arcoverde),Sertania
26540720,Escola de Referencia em Ensino Medio Professora Irene Maria Ramos Coelho,Sertao Medio Sao Francisco(Petrolina),Afranio
